datetime,amount
2023-01-01 10:14:07,28.927660622491224
2023-01-01 10:39:20,38.280050456360215
2023-01-01 10:15:44,28.86850208416841
2023-01-01 11:41:44,22.309291691685203
2023-01-01 11:56:52,26.285584350281397
2023-01-01 11:43:19,26.572564479315858
2023-01-01 12:25:47,31.819432622085525
2023-01-01 12:01:00,37.69581358134666
2023-01-01 12:47:11,30.002428038810525
2023-01-01 12:54:08,25.762104311296298
2023-01-01 13:34:59,27.366188122867726
2023-01-01 13:34:59,24.635855436715637
2023-01-01 13:32:51,20.766031409657977
2023-01-01 14:33:31,17.425763876570677
2023-01-01 14:53:47,26.355308743711316
2023-01-01 14:04:21,36.224033030052816
2023-01-01 15:34:48,21.92377392115255
2023-01-01 15:48:38,26.913997335753933
2023-01-01 15:31:23,25.90246252749774
2023-01-01 16:21:51,30.355207620587542
2023-01-01 16:16:06,21.40777889373782
2023-01-01 16:43:53,23.932764241440765
2023-01-01 17:32:53,26.477387622115916
2023-01-01 17:24:21,19.513270657166707
2023-01-01 18:46:56,36.709876012564976
2023-01-01 18:10:53,19.490726000091197
2023-01-01 18:15:07,27.801128554853598
2023-01-01 19:24:16,20.439358716952505
2023-01-01 19:12:19,14.116593053639088
2023-01-01 19:40:44,23.04482999384754
2023-01-01 20:12:39,21.990156605518077
2023-01-01 20:36:08,28.801255473176802
2023-01-01 20:16:08,21.38330458774383
2023-01-01 21:04:58,37.169240392012085
2023-01-01 21:09:32,25.43517614073336
2023-01-01 21:46:35,20.263293100289378
2023-01-02 10:51:24,17.22125012064186
2023-01-02 10:26:16,11.0768217760895
2023-01-02 11:02:50,18.889360955540273
2023-01-02 11:33:34,28.56499215086194
2023-01-02 11:31:23,28.554799841017456
2023-01-02 12:16:25,27.2213165574302
2023-01-02 12:20:27,22.906475795967754
2023-01-02 12:01:59,32.27463904162833
2023-01-02 13:36:42,31.278780627867604
2023-01-02 13:43:38,20.52696348890248
2023-01-02 13:14:55,32.23488942176866
2023-01-02 14:53:52,25.982773882557872
2023-01-02 14:50:44,22.920663292941075
2023-01-02 14:57:02,24.479751216001816
2023-01-02 15:50:30,24.164409598415727
2023-01-02 15:42:52,25.733568432166614
2023-01-02 15:29:38,26.843366544364507
2023-01-02 15:13:12,23.033305938363196
2023-01-02 16:28:20,15.766137827642993
2023-01-02 16:57:59,22.16665293744947
2023-01-02 17:38:25,29.94441368654509
2023-01-02 17:33:41,28.116549033273017
2023-01-02 18:28:53,30.455230510823338
2023-01-02 18:30:57,24.44633285459652
2023-01-02 19:55:43,30.473918558199568
2023-01-02 19:05:43,24.19395765715066
2023-01-02 19:58:19,24.641993702929682
2023-01-02 19:36:19,24.813888817450792
2023-01-02 20:27:01,24.679308267035037
2023-01-02 20:47:12,26.6438120515174
2023-01-02 21:27:34,20.85535959567039
2023-01-02 21:29:17,25.817387395837265
2023-01-02 21:01:48,19.70680325301459
2023-01-02 21:43:09,25.31582729653587
2023-01-03 10:03:12,21.20479776395676
2023-01-03 10:04:43,25.167293854961514
2023-01-03 10:26:31,30.155314569940266
2023-01-03 11:34:29,25.542713380142192
2023-01-03 11:23:41,26.336961570359513
